employee_id	gender	education	family_status	hire_date	passposrt	phone	home_address	name	birthday	contract_type
106	М	Неполное высшее образование	Не женат/Не замужем	19/03/2010	3874 5494130	+506 (751) 484-8180	82170 Talisman Street	Saundra Baynes	28/07/1985	Трудовой договор
107	М	Неполное среднее образование	Не женат/Не замужем	15/03/2017	6857 9959978	+7 (761) 368-2463	1495 Old Shore Circle	Rafaello Dilley	09/02/1979	Гражданско-правовой договор
108	М	Высшее образование	Женат/Замужем	26/02/2010	3084 4854879	+48 (298) 188-1243	47537 Lake View Junction	Yelena Mc Mechan	29/11/1972	Гражданско-правовой договор
109	М	Неполное высшее образование	Женат/Замужем	18/09/2014	2052 5474550	+7 (197) 255-0901	0302 Lyons Point	Catherine Acklands	18/04/1979	Срочный договор
110	Ж	Высшее образование	Женат/Замужем	25/02/2009	9925 4445142	+47 (746) 726-1920	8004 Lake View Lane	Jonah Fullbrook	18/12/1985	Трудовой договор
111	М	Неполное высшее образование	Женат/Замужем	28/06/2016	2663 7273726	+505 (270) 984-9061	176 Pankratz Alley	Daloris Philippon	29/05/1984	Трудовой договор
112	Ж	Неполное высшее образование	Не женат/Не замужем	16/10/2000	3220 7405696	+62 (350) 960-0738	8 Crowley Plaza	Ranique Heskin	10/09/1969	Трудовой договор
113	М	Неполное среднее образование	Не женат/Не замужем	27/12/2018	4268 9204083	+86 (447) 268-5598	26 Surrey Crossing	Panchito Yeates	12/01/1975	Трудовой договор
114	Ж	Среднее образование	Женат/Замужем	21/06/2014	9826 3034734	+380 (462) 534-6920	3941 Banding Drive	Bowie Costelloe	14/02/1986	Гражданско-правовой договор
115	Ж	Высшее образование	Женат/Замужем	02/07/2002	9223 5755972	+62 (392) 434-9028	83 Burrows Parkway	Jillana Corbould	11/07/1981	Трудовой договор
116	М	Среднее образование	Женат/Замужем	02/03/2005	7483 7560301	+231 (756) 668-3760	6253 Schiller Parkway	Ladonna Chartman	22/07/1969	Гражданско-правовой договор
117	М	Среднее образование	Не женат/Не замужем	22/05/2019	9094 6874246	+86 (167) 596-6978	99 Comanche Center	Ethe Grevel	06/01/1985	Трудовой договор
118	Ж	Высшее образование	Женат/Замужем	27/08/2011	6265 1884029	+62 (680) 213-3025	6 High Crossing Center	Evelina McPeake	13/10/1979	Гражданско-правовой договор
119	М	Неполное высшее образование	Женат/Замужем	03/12/2009	6132 7599526	+48 (916) 119-9507	183 Hintze Plaza	Hester Edridge	03/07/1966	Трудовой договор
120	Ж	Неполное высшее образование	Женат/Замужем	24/10/2000	7972 9238687	+92 (687) 559-7200	53 Mayfield Park	Lacie Costan	15/07/1991	Срочный договор
121	Ж	Неполное высшее образование	Не женат/Не замужем	05/09/2008	3444 2020071	+52 (513) 310-0926	6 Mayfield Court	Bailie Oxborough	19/09/1966	Трудовой договор
122	М	Среднее образование	Женат/Замужем	23/04/2012	9641 7933248	+967 (462) 909-3618	62585 Ronald Regan Trail	Emmaline Kenewell	29/01/1968	Трудовой договор
123	М	Неполное высшее образование	Не женат/Не замужем	10/12/2018	8781 1857865	+62 (471) 603-9478	2 Pankratz Terrace	Leland Barwell	19/11/1976	Трудовой договор
124	М	Высшее образование	Не женат/Не замужем	22/01/2014	4460 5622714	+46 (953) 607-8764	29537 John Wall Place	Antonio Crofts	23/11/1988	Срочный договор
125	Ж	Неполное среднее образование	Не женат/Не замужем	27/01/2008	1986 4009400	+229 (755) 442-7074	77739 Kensington Center	Obadiah Wegenen	31/12/1982	Срочный договор
126	М	Высшее образование	Женат/Замужем	26/04/2004	9277 7077326	+962 (654) 538-1676	1 Haas Way	Price Maddie	06/09/1978	Срочный договор
127	Ж	Среднее образование	Не женат/Не замужем	10/04/2015	4581 1690750	+507 (109) 929-6344	534 Holmberg Crossing	Harlan Masterman	07/01/1973	Гражданско-правовой договор
128	М	Высшее образование	Не женат/Не замужем	29/11/2010	9469 8157137	+86 (848) 229-7906	551 Michigan Avenue	Kellsie Wordesworth	16/09/1976	Срочный договор
129	Ж	Неполное высшее образование	Женат/Замужем	22/07/2014	2534 4565879	+62 (357) 207-9765	741 Rutledge Trail	Lindsy Bockler	14/06/1994	Трудовой договор
130	Ж	Высшее образование	Женат/Замужем	28/07/2020	3309 1654306	+212 (884) 147-1520	927 Vernon Center	Allene Kupker	15/07/1982	Срочный договор
131	Ж	Высшее образование	Не женат/Не замужем	22/06/2012	5589 8963750	+63 (507) 399-0870	6 Pawling Road	Annamarie Skelding	25/05/1995	Гражданско-правовой договор
132	М	Неполное высшее образование	Не женат/Не замужем	25/04/2011	8624 3904120	+57 (612) 140-0591	9792 Lindbergh Park	Mikkel Gainsford	25/09/1995	Трудовой договор
133	М	Неполное среднее образование	Не женат/Не замужем	08/11/2013	6492 5868803	+86 (720) 185-6744	3578 Vermont Hill	Boris Skirlin	07/09/1971	Трудовой договор
134	М	Неполное среднее образование	Женат/Замужем	11/11/2019	8700 4835695	+593 (186) 353-6319	05 Briar Crest Court	Renell Iohananof	08/12/1971	Гражданско-правовой договор
135	М	Высшее образование	Женат/Замужем	03/12/2019	5281 9386164	+385 (230) 124-7773	976 Arapahoe Pass	Cyndy Caws	16/01/1993	Гражданско-правовой договор
136	Ж	Неполное высшее образование	Не женат/Не замужем	18/11/2019	2371 3347354	+996 (181) 306-2863	04795 Grasskamp Park	Riobard MacCoughen	19/12/1971	Гражданско-правовой договор
137	М	Неполное среднее образование	Не женат/Не замужем	24/08/2008	6716 7411352	+86 (810) 301-7907	7783 Loftsgordon Street	Zacharie Pittham	13/12/1965	Гражданско-правовой договор
138	Ж	Неполное высшее образование	Женат/Замужем	13/10/2006	1594 9332532	+46 (836) 831-8726	08551 Walton Court	Abby Aleksandrev	19/02/1966	Гражданско-правовой договор
139	Ж	Высшее образование	Женат/Замужем	17/04/2017	3162 2546601	+420 (974) 800-8579	74682 Mandrake Street	Ryon Megroff	06/03/1986	Срочный договор
140	Ж	Неполное среднее образование	Не женат/Не замужем	05/11/2003	7030 5209868	+36 (364) 281-5824	13761 Portage Hill	Dov Veque	18/02/1994	Гражданско-правовой договор
141	Ж	Неполное среднее образование	Женат/Замужем	23/01/2007	1474 3716464	+58 (575) 763-3109	7204 Carberry Road	Alvera Dumbrall	10/02/1978	Срочный договор
142	Ж	Неполное высшее образование	Женат/Замужем	16/05/2014	9706 6286628	+86 (901) 258-1877	76356 Mcguire Court	Upton Van Oort	22/11/1986	Срочный договор
143	Ж	Высшее образование	Женат/Замужем	04/01/2013	2753 4936437	+49 (380) 801-7965	0 Main Drive	Lindy Bickerdicke	09/07/1994	Срочный договор
144	М	Высшее образование	Не женат/Не замужем	10/01/2010	6376 9048565	+33 (104) 922-3651	84383 Twin Pines Center	Giff Fontell	09/07/1980	Гражданско-правовой договор
145	М	Неполное среднее образование	Не женат/Не замужем	25/01/2015	5186 9109771	+242 (277) 636-7758	981 Ryan Road	Nancey Flook	09/03/1967	Трудовой договор
146	М	Высшее образование	Не женат/Не замужем	25/10/2005	7779 9314578	+7 (921) 453-6438	43 Comanche Lane	Pearle Mulholland	15/06/1984	Гражданско-правовой договор
147	Ж	Неполное высшее образование	Женат/Замужем	15/11/2004	2831 2559305	+55 (174) 696-0418	4 Old Shore Point	Hershel O'Connolly	26/12/1986	Гражданско-правовой договор
148	Ж	Неполное среднее образование	Не женат/Не замужем	08/12/2012	7536 4220875	+86 (362) 873-2674	43 Village Green Crossing	Jolynn Lawlan	17/07/1967	Трудовой договор
149	М	Неполное высшее образование	Женат/Замужем	11/12/2019	3671 6708837	+995 (406) 718-7586	8 Warbler Way	Dasie Hillhouse	01/03/1989	Трудовой договор
150	М	Неполное высшее образование	Не женат/Не замужем	27/12/2014	2636 5055560	+33 (131) 723-7251	4328 4th Road	Craig Roskam	22/01/1990	Гражданско-правовой договор
151	М	Среднее образование	Не женат/Не замужем	27/05/2013	2626 8779073	+7 (412) 237-7624	0 Arkansas Pass	Darbee Ralestone	05/01/1981	Гражданско-правовой договор
152	М	Высшее образование	Женат/Замужем	18/07/2000	6914 1700738	+81 (122) 477-2439	21284 1st Alley	Joycelin Duddle	01/10/1979	Трудовой договор
153	Ж	Неполное высшее образование	Женат/Замужем	10/10/2013	1380 5954816	+62 (128) 232-2642	9224 Sommers Alley	Sarine Stanyon	08/12/1981	Гражданско-правовой договор
154	Ж	Высшее образование	Не женат/Не замужем	30/03/2002	6574 6453501	+593 (598) 695-9639	42 Forster Center	Jerad Heading	23/02/1965	Гражданско-правовой договор
155	Ж	Среднее образование	Не женат/Не замужем	25/04/2007	8392 8639148	+86 (148) 370-7380	5710 Miller Plaza	Derrek Houtby	28/06/1970	Срочный договор
156	Ж	Неполное высшее образование	Не женат/Не замужем	12/11/2013	8964 7185978	+33 (108) 596-1883	5 3rd Center	Arch Opfer	20/04/1992	Трудовой договор
157	М	Среднее образование	Не женат/Не замужем	10/03/2013	4527 6007163	+237 (895) 777-4656	4 Nevada Terrace	Doralin Burrows	13/09/1975	Срочный договор
158	М	Среднее образование	Женат/Замужем	20/03/2017	2774 6671166	+81 (242) 369-4387	74 Cascade Road	Johnna Hebbron	19/03/1987	Срочный договор
159	Ж	Неполное среднее образование	Женат/Замужем	02/06/2000	6091 5922677	+20 (469) 894-6784	356 Stoughton Drive	Auroora Hellicar	10/08/1974	Гражданско-правовой договор
160	Ж	Неполное высшее образование	Не женат/Не замужем	24/02/2016	2846 3096223	+62 (908) 973-3606	246 Crest Line Street	Margy Collete	05/07/1971	Трудовой договор
161	М	Среднее образование	Не женат/Не замужем	20/02/2007	5882 7563094	+380 (560) 601-0821	788 Vera Trail	Franciska Edgars	30/05/1986	Срочный договор
162	Ж	Неполное среднее образование	Женат/Замужем	18/02/2015	8023 6704243	+63 (132) 829-4372	18 Anderson Road	Barclay McCard	02/02/1990	Срочный договор
163	М	Высшее образование	Не женат/Не замужем	15/10/2005	4580 1349411	+86 (162) 291-9623	8 Crowley Park	Nertie Patillo	09/11/1971	Срочный договор
